Lektion 14 -- Verber I, verbalsystemet og dets indretning (6)
(De første spørgsmål handler kun om verber med personendelser = finitte verber). – Hvad udtrykker ordklassen 'verber'?,handlinger (og tilstande) 
Handlinger (og tilstande) anskues på fem måder: den grundlæggende forskel ligger i synsvinklen: igangværende (imperfektiv) og afsluttet (perfektiv) handling. Hvad kaldes denne synsvinkel?,"(1) *aspekt*: det imperfektive og det perfektive aspekt. Aspektet ses af aspektmærket i verbets imperfektiv- og perfektivstamme. Med (2) *modus* skelnes mellem virkelighed (indikativ), vilje/ønske (konjunktiv) og ordre (imperativ) m.h.t. handlingen"
Gentag de to øverste lag i verbalsystemet!,"det imperfektive og det perfektive aspekt, de tre modi: indikativ, konjunktiv, imperativ "
"(3) *Tempus*: Både det danske og det latinske verbalsystem skelner mellem handlinger i nutid, fortid og fremtid. Hvad kaldes tiderne?","præsens, præteritum, futurum. Modus og tempus ses af modus/tempus-mærket "
(4) *Diatese* er forskellen på aktiv og passiv. – Hvad angiver (5) *Person og tal*?,person og tal angiver: 1. 2. 3. person i singularis og pluralis. Diatese og person-tal aflæses af personendelsen
Hvor mange mærker findes der altså i en latinsk finit verbalform?,"3: aspektmærket, modus/tempus-mærket, diatese/person/tal-mærket (= personendelsen) "
"Imperfektiv indikativ præsens aktiv (fx *legō* jeg læser) udtrykker derfor tre ting, nemlig …","(1) aspekt: en igangværende handling, (2) modus: indikativ = 'virkelighed' (3) nutid, (4-5) 1 sg akt "
Hvad udtrykker perfektiv indikativ præteritum aktiv (fx *amāverās*)?,"(1) aspekt: en overskuet handling, (2) modus: indikativ, (3) fortid, (4-5) 2 sg akt "
Hvad udtrykker imperfektiv futurum passiv (fx *vidēberis*)?,"(1) aspekt: en ikke afsluttet handling, (2) modus: indikativ, (3) fremtid, (4-5) sg passiv "
"Verberne findes i tre grundstammer: imperfektivstammen, perfektivstammen og nominalstammen. Hvor mange former af 1 sg dannes af verbets imperfektivstamme?","i imperfektiv indikativ aktiv dannes 3 (præsens, præteritum, futurum), i konjunktiv dannes 2 (præsens, præteritum) i imperativ 1 (2sg og pl); i imperfektiv indikativ passiv det samme, altså i alt 12"
Hvor mange dannes der af verbets perfektivstamme?,"i aktiv dannes der 5, nemlig indikativ præsens, præteritum, futurum og konjunktiv præsens, præteritum. I passiv dannes de samme 5, men i en sammensat form (ppp + en form af *sum*) "
Hvor mange præsensformer findes der?,"8: imperfektiv indikativ og konjunktiv præsens, perfektiv indikativ og konjunktiv, alle både i aktiv og passiv! "
Indtil nu er de tre finitte modi omtalt. Gentag deres navne og deres anvendelse!,"indikativ ('virkelighed'), konjunktiv ('ønske/vilje') imperativ ('ordre')"
Desuden har latin to infinitte modi: infinitiv og participium. Hvad har de fem modi til fælles?,alle modi har to aspekter: imperfektiv og perfektiv 
Nævn de fem modi!,"indikativ, konjunktiv, imperativ, infinitiv, participium (desuden har latin nogle nominalformer af verbet, som ikke har aspekt: gerundium, gerundiv og supinum)"
Nævn de fem lag i verbalsystemet!,"(1) aspekt, (2) modus, (3) tempus, (4) diatese (5) person og tal"
"Hvor mange af disse lag findes i en infinitivform (fx *amāre*, *amāvisse*)?","3: aspekt, modus, diatese; de infinitte verbalformer har hverken tempus eller person/tal "
Hvor mange lag findes der i et participium?,"4: aspekt, modus, diatese, kasus/tal "
"Opregn alle 1 sg i hele verbalsystemet efter de fem lag, og nævn derefter de infinitte former!","1 sg findes i imperfektiv indikativ præsens, præteritum, futurum, aktiv og passiv / konjunktivpræsens og præteritum, aktiv og passiv / imperativ aktiv og passiv (2sg og pl) / perfektiv indikativ præsens, præteritum, futurum, aktiv og passiv / konjunktiv præsens og præteritum, aktiv og passiv"
Nævn de infinitte former i hele verbalsystemet,"De infinitte verbalformer er infinitiv og participium (imperfektiv og perfektiv, aktiv og passiv), gerundium, gerundiv (og supinum)"
