Lektion 07 -- O-stammer, neutrum (substantiver) (2.1.2)
Kasusmærket i neutrum sg nom (O-stammer) er ...,-m: templum (templo-m > templum)
"Akk har samme endelse, altså ...",-m: templum 
"Gen, dat og abl sg har samme endelser som maskulinum. *Templum* hedder derfor ...","templī, templō, templō "
O-stammernes kasusendelser i neutrum sg er ...,"-(u)m, -(u)m, -ī, -ō, -ō "
Hvor afviger de fra de maskuline O-stammer,kun i nom! 
I pl har både nom og akk endelsen *-a*. *Templum* hedder derfor i nom og akk pl ...,"templa, templa (templo-a > templa) "
"De øvrige kasus er igen som de maskuline O-stammer, altså ...","templōrum, templīs, templīs "
Bøj hele *templum*!,"templum, templum, templī, templō, templō / templa, templa, templōrum, templīs, templīs "
Hvor mange forskellige former er der i hhv. sg og pl?,tre i hvert tal 
"De få *maskuline O-stammer*, som ender på *ro-*, ender i nom sg på *-r*. *Puero-* (dreng) hedder derfor i nominativ ...",puer
*Libro-* (bog) og *magistro-* (lærer) hedder i nom sg ...,"liber, magister "
I akk sg hedder de ...,"librum, magistrum (det er kun i nom sg, de er uregelmæssige!) "
Nu repeterer vi: hvilken kasus og tal er *servum*?,akk sg 
Akk pl hedder ...,servōs 
*Servīs* er ...,dat eller abl pl 
*Servī* er ...,gen sg eller nom pl 
Hvad er *servō*?,dat eller abl sg (= stammen) 
*Templōrum* er ...,gen pl 
*Templa* er ...,nom og akk pl
