"Lektion 18 -- Aspektmærker (6.2.7)"
Græsk har tre aspekter. Nævn dem!,"Imperfektiv, aorist, perfektiv."
"Imperfektiv betegner den uafsluttede, igangværende handling. Hvad betegner perfektiv?","Perfektiv betegner den afsluttede, fuldendte handling (jeg har …)"
Hvad betegner aorist?,Aorist betegner den overskuede handling (men ikke tid!)
Hvilke(t) aspektmærke(r) har perfektiv?,"Aktiv: reduplikation og/eller -κ- efter stammen.
Medium: reduplikation, ingen temavokal."
Hvori består en reduplikation?,"En reduplikation er en gentagelse af stammens begyndelseskonsonant + ε, fx λέ-λυ-κ-α."
Hvad er aspektmærket for den almindeligste aoristform?,Denne aorist dannes med -σ- efter stammen.
Hvad kaldes denne aoristform?,Sigma-aorist.
Hvilken aoristform er den næsthyppigste?,"Tematisk aorist, dvs. former med temavokal og imperfektivs endelser, men med ændret stamme (forkortet elelr forandret)."
Hvori adskiller en tematisk aorist sig altså fra imperfektivformen?,Kun ved at have en forkortet eller forandret stamme.
Perfektiv medium dannes med reduplikation og uden temavokal. Hvad hedder λύω i (a) perf med ind præs 3 pl (b) perf med ind præt 3 pl?,(a) λέλυνται; \\ (b) ἐλέλυντο
Bøj λύω i perf med ind præs! ,"Λέλυμαι \\ λέλυσαι \\ λέλυται \\ λυλύμεθα \\ λέλυσθε \\ λέλυνται."
Bøj λύω i perf akt ind præs! ,"Λέλυκα \\ λέλυκας \\ λέλυκε \\ λελύκαμεν \\ λελύκατε \\ λελύκασιν."
Hvad er imperfektivstammen af verbet λαμβάνω (tager)?,Λαμβαν-. 
"Aoriststammen af λαμβάνω er λαβ-. Hvordan er aoristformen dannet, og hvad kaldes denne slags aorist?",Stammen er dannet ved en forkortelse; denne form kaldes tematisk aorist.
Hvad hedder aor konj akt 1-3 pl af λαμβάνω?,"Λάβωμεν \\ λάβητε \\ λάβωσιν."
Verbet γίγνομαι (bliver) har aoriststammen γεν-.  Hvad hedder aor opt 1-3 sg af γίγνομαι?,"Γενοίμην \\ γένοιο \\ γένοιτο."
Hvad hedder aor inf af λαμβάνω og γίγνομαι?,Λαβεῖν og γενέσθαι.
Λύω danner σ-aorist. Hvad hedder aor konj med 1 sg af λύω?,Λύσωμαι.
Hvad hedder aor konj akt 2 pl af λύω?,Λύσητε.
